Time,emr-header-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-3/used,emr-worker-4/used,emr-worker-5/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
0:21:45,9366130688.00 ,3244351488.00 ,3307732992.00 ,3142524928.00 ,3193163776.00 ,3193319424.00 ,3201126400.00 ,3207450624.00 ,3297644544.00 ,3240382464.00 ,,38393827328.00 
0:22:00,9378230272.00 ,3245305856.00 ,3308904448.00 ,3140993024.00 ,3194122240.00 ,3193352192.00 ,3199660032.00 ,3207249920.00 ,3298713600.00 ,3254534144.00 ,,38421065728.00 
0:22:15,9374638080.00 ,3252551680.00 ,3310129152.00 ,3148824576.00 ,3192283136.00 ,3193155584.00 ,3200479232.00 ,3206516736.00 ,3294068736.00 ,3240706048.00 ,,38413352960.00 
0:22:30,9365643264.00 ,3249774592.00 ,3310309376.00 ,3148763136.00 ,3190358016.00 ,3191492608.00 ,3200008192.00 ,3205083136.00 ,3309727744.00 ,3240706048.00 ,,38411866112.00 
0:22:45,9360896000.00 ,3490365440.00 ,3308515328.00 ,3203502080.00 ,3200999424.00 ,3189288960.00 ,3260399616.00 ,3204870144.00 ,3325870080.00 ,3294855168.00 ,,38839562240.00 
0:23:00,9904304128.00 ,7755292672.00 ,4435046400.00 ,12090617856.00 ,7825375232.00 ,7804596224.00 ,4335788032.00 ,11818463232.00 ,7758065664.00 ,4372537344.00 ,,78100086784.00 
0:23:15,9889013760.00 ,8728788992.00 ,4739538944.00 ,13948702720.00 ,7985823744.00 ,7963316224.00 ,4643942400.00 ,14007189504.00 ,7959072768.00 ,4670664704.00 ,,84536053760.00 
0:23:30,9885204480.00 ,8811036672.00 ,4837634048.00 ,14184771584.00 ,8048541696.00 ,8021544960.00 ,4770357248.00 ,14038380544.00 ,8026959872.00 ,4766093312.00 ,,85390524416.00 
0:23:45,9882349568.00 ,8900587520.00 ,11603685376.00 ,14282629120.00 ,11847327744.00 ,11860045824.00 ,12602396672.00 ,14100803584.00 ,12469182464.00 ,11616030720.00 ,,119165038592.00 
0:24:00,9888669696.00 ,9395884032.00 ,15915999232.00 ,15666147328.00 ,15810220032.00 ,15839567872.00 ,15757934592.00 ,15566901248.00 ,15920488448.00 ,15831359488.00 ,,145593171968.00 
0:24:15,9884528640.00 ,11160424448.00 ,18613522432.00 ,19097477120.00 ,18477600768.00 ,18536996864.00 ,18811527168.00 ,18845372416.00 ,18967076864.00 ,18880352256.00 ,,171274878976.00 
0:24:30,10008223744.00 ,13009973248.00 ,22331531264.00 ,22594588672.00 ,21986902016.00 ,22071582720.00 ,22409089024.00 ,22334656512.00 ,22605836288.00 ,22472380416.00 ,,201824763904.00 
0:24:45,9891590144.00 ,14471757824.00 ,25352495104.00 ,25875054592.00 ,25230548992.00 ,25320706048.00 ,25625350144.00 ,25618423808.00 ,25821675520.00 ,25697632256.00 ,,228905234432.00 
0:25:00,9880788992.00 ,16102924288.00 ,28487315456.00 ,29035982848.00 ,28265324544.00 ,28603420672.00 ,28397129728.00 ,28429615104.00 ,28592013312.00 ,28452216832.00 ,,254246731776.00 
0:25:15,9879527424.00 ,16884654080.00 ,30053502976.00 ,30492065792.00 ,29946302464.00 ,30176935936.00 ,29941522432.00 ,30244511744.00 ,30191738880.00 ,30021693440.00 ,,267832455168.00 
0:25:30,9882021888.00 ,16987136000.00 ,30229565440.00 ,30738321408.00 ,30202720256.00 ,30391275520.00 ,30151372800.00 ,30630567936.00 ,30390468608.00 ,30215811072.00 ,,269819260928.00 
0:25:45,9874620416.00 ,16988782592.00 ,30298578944.00 ,30785568768.00 ,30220378112.00 ,30431662080.00 ,30210678784.00 ,30654906368.00 ,30409388032.00 ,30257291264.00 ,,270131855360.00 
0:26:00,9879826432.00 ,16991420416.00 ,30302429184.00 ,30798229504.00 ,30234505216.00 ,30427840512.00 ,30216179712.00 ,30656679936.00 ,30405193728.00 ,30263828480.00 ,,270176133120.00 
0:26:15,9883688960.00 ,17010728960.00 ,30310105088.00 ,30797402112.00 ,30243340288.00 ,30441926656.00 ,30227496960.00 ,30667755520.00 ,30407819264.00 ,30280658944.00 ,,270270922752.00 
0:26:30,9877860352.00 ,17008926720.00 ,30318657536.00 ,30801547264.00 ,30245421056.00 ,30437146624.00 ,30220845056.00 ,30664491008.00 ,30424526848.00 ,30275936256.00 ,,270275358720.00 
0:26:45,9878081536.00 ,17009274880.00 ,30312767488.00 ,30798868480.00 ,30242414592.00 ,30434091008.00 ,30225469440.00 ,30666313728.00 ,30406311936.00 ,30273228800.00 ,,270246821888.00 
0:27:00,9888919552.00 ,17009561600.00 ,30312988672.00 ,30801551360.00 ,30247837696.00 ,30443917312.00 ,30225158144.00 ,30664007680.00 ,30419263488.00 ,30274416640.00 ,,270287622144.00 
